Week Ending Date,Report Date,Date,Weighted Price,Weighted Price adjusted to 38% moisture,Sales,Moisture Content
02/06/2016,02/10/2016,01/09/2016,1.5873,1.5160,"11,141,233",35.08
02/06/2016,02/10/2016,01/16/2016,1.6201,1.5432,"11,285,012",34.91
02/06/2016,02/10/2016,01/23/2016,1.6387,1.5626,"10,403,831",34.98
02/06/2016,02/10/2016,01/30/2016,1.6180,1.5420,"10,360,803",34.94
02/06/2016,02/10/2016,02/06/2016,1.5799,1.5102,"9,478,002",35.14
01/30/2016,02/03/2016,01/30/2016,1.6180,1.5420,"10,360,803",34.94
01/30/2016,02/03/2016,01/23/2016,1.6387,1.5626,"10,403,831",34.98
01/30/2016,02/03/2016,01/16/2016,1.6201,1.5432,"11,285,012",34.91
01/30/2016,02/03/2016,01/09/2016,1.5873,1.5160,"11,141,233",35.08
01/30/2016,02/03/2016,01/02/2016,1.5586,1.4856,"9,167,653",34.95
01/23/2016,01/27/2016,12/26/2015,1.5744,1.4973,"8,629,095",34.81
01/23/2016,01/27/2016,01/02/2016,1.5586,1.4856,"9,167,653",34.95
01/23/2016,01/27/2016,01/09/2016,1.5873,1.5160,"11,141,233",35.08
01/23/2016,01/27/2016,01/16/2016,1.6201,1.5432,"11,285,012",34.91
01/23/2016,01/27/2016,01/23/2016,1.6387,1.5626,"10,403,831",34.98
01/16/2016,01/21/2016,01/16/2016,1.6201,1.5432,"11,285,012",34.91
01/16/2016,01/21/2016,01/09/2016,1.5873,1.5160,"11,141,233",35.08
01/16/2016,01/21/2016,01/02/2016,1.5586,1.4856,"9,167,653",34.95
01/16/2016,01/21/2016,12/26/2015,1.5744,1.4973,"8,629,095",34.81
01/16/2016,01/21/2016,12/19/2015,1.6124,1.5362,"10,400,022",34.93
01/09/2016,01/13/2016,12/12/2015,1.6235,1.5525,"10,316,439",35.16
01/09/2016,01/13/2016,12/19/2015,1.6124,1.5362,"10,400,022",34.93
01/09/2016,01/13/2016,12/26/2015,1.5744,1.4973,"8,629,095",34.81
01/09/2016,01/13/2016,01/02/2016,1.5586,1.4857,"8,839,183",34.96
01/09/2016,01/13/2016,01/09/2016,1.5873,1.5160,"11,141,233",35.08
01/02/2016,01/06/2016,01/02/2016,1.5569,1.4845,"8,636,161",34.97
01/02/2016,01/06/2016,12/26/2015,1.5754,1.4981,"8,669,656",34.80
01/02/2016,01/06/2016,12/19/2015,1.6124,1.5362,"10,400,022",34.93
01/02/2016,01/06/2016,12/12/2015,1.6235,1.5525,"10,316,439",35.16
01/02/2016,01/06/2016,12/05/2015,1.6349,1.5585,"9,709,622",34.96
12/26/2015,12/30/2015,11/28/2015,1.6321,1.5567,"8,199,380",35.00
12/26/2015,12/30/2015,12/05/2015,1.6349,1.5585,"9,709,622",34.96
12/26/2015,12/30/2015,12/12/2015,1.6235,1.5525,"10,316,439",35.16
12/26/2015,12/30/2015,12/19/2015,1.6124,1.5362,"10,400,022",34.93
12/26/2015,12/30/2015,12/26/2015,1.5759,1.4983,"8,590,783",34.79
12/19/2015,12/23/2015,12/19/2015,1.6124,1.5362,"10,400,022",34.93
12/19/2015,12/23/2015,12/12/2015,1.6235,1.5525,"10,316,439",35.16
12/19/2015,12/23/2015,12/05/2015,1.6349,1.5585,"9,709,622",34.96
12/19/2015,12/23/2015,11/28/2015,1.6321,1.5567,"8,199,380",35.00
12/19/2015,12/23/2015,11/21/2015,1.6943,1.6154,"9,903,311",34.97
12/12/2015,12/16/2015,11/14/2015,1.7261,1.6437,"9,769,834",34.89
12/12/2015,12/16/2015,11/21/2015,1.6943,1.6154,"9,903,311",34.97
12/12/2015,12/16/2015,11/28/2015,1.6321,1.5567,"8,199,380",35.00
12/12/2015,12/16/2015,12/05/2015,1.6349,1.5585,"9,709,622",34.96
12/12/2015,12/16/2015,12/12/2015,1.6176,1.5466,"10,421,359",35.15
12/05/2015,12/09/2015,12/05/2015,1.6349,1.5585,"9,709,622",34.96
12/05/2015,12/09/2015,11/28/2015,1.6328,1.5572,"8,159,307",34.99
12/05/2015,12/09/2015,11/21/2015,1.6943,1.6154,"9,903,311",34.97
12/05/2015,12/09/2015,11/14/2015,1.7261,1.6437,"9,769,834",34.89
12/05/2015,12/09/2015,11/07/2015,1.7078,1.6323,"9,159,344",35.13
11/28/2015,12/02/2015,10/31/2015,1.7406,1.6600,"10,186,186",34.99
11/28/2015,12/02/2015,11/07/2015,1.6860,1.6115,"9,159,344",35.13
11/28/2015,12/02/2015,11/14/2015,1.7261,1.6437,"9,769,834",34.89
11/28/2015,12/02/2015,11/21/2015,1.6943,1.6154,"9,903,311",34.97
11/28/2015,12/02/2015,11/28/2015,1.6332,1.5577,"8,077,043",34.99
11/21/2015,11/25/2015,11/21/2015,1.6943,1.6154,"9,903,311",34.97
11/21/2015,11/25/2015,11/14/2015,1.7261,1.6437,"9,769,834",34.89
11/21/2015,11/25/2015,11/07/2015,1.6860,1.6115,"9,159,344",35.13
11/21/2015,11/25/2015,10/31/2015,1.7406,1.6600,"10,186,186",34.99
11/21/2015,11/25/2015,10/24/2015,1.7637,1.6817,"8,974,990",34.98
11/14/2015,11/18/2015,10/17/2015,1.7232,1.6477,"9,081,807",35.16
11/14/2015,11/18/2015,10/24/2015,1.7637,1.6817,"8,974,990",34.98
11/14/2015,11/18/2015,10/31/2015,1.7406,1.6600,"10,186,186",34.99
11/14/2015,11/18/2015,11/07/2015,1.6858,1.6113,"9,159,856",35.13
11/14/2015,11/18/2015,11/14/2015,1.7261,1.6435,"9,730,209",34.88
11/07/2015,11/12/2015,11/07/2015,1.7077,1.6323,"9,117,766",35.14
11/07/2015,11/12/2015,10/31/2015,1.7406,1.6600,"10,186,186",34.99
11/07/2015,11/12/2015,10/24/2015,1.7636,1.6816,"8,981,091",34.98
11/07/2015,11/12/2015,10/17/2015,1.7232,1.6477,"9,081,807",35.16
11/07/2015,11/12/2015,10/10/2015,1.6815,1.6030,"10,172,769",34.97
10/31/2015,11/04/2015,10/03/2015,1.6783,1.5990,"9,249,459",34.93
10/31/2015,11/04/2015,10/10/2015,1.6815,1.6030,"10,172,769",34.97
10/31/2015,11/04/2015,10/17/2015,1.7232,1.6477,"9,081,807",35.16
10/31/2015,11/04/2015,10/24/2015,1.7638,1.6818,"8,980,091",34.98
10/31/2015,11/04/2015,10/31/2015,1.7405,1.6601,"10,119,902",35.00
10/24/2015,10/28/2015,10/24/2015,1.7649,1.6828,"8,980,091",34.98
10/24/2015,10/28/2015,10/17/2015,1.7244,1.6487,"9,122,587",35.15
10/24/2015,10/28/2015,10/10/2015,1.6802,1.6019,"10,131,989",34.97
10/24/2015,10/28/2015,10/03/2015,1.6783,1.5990,"9,249,459",34.93
10/24/2015,10/28/2015,09/26/2015,1.7212,1.6426,"10,456,388",35.03
10/17/2015,10/21/2015,09/19/2015,1.7718,1.6885,"9,407,352",34.94
10/17/2015,10/21/2015,09/26/2015,1.7212,1.6426,"10,456,388",35.03
10/17/2015,10/21/2015,10/03/2015,1.6783,1.5990,"9,249,459",34.93
10/17/2015,10/21/2015,10/10/2015,1.6802,1.6019,"10,131,989",34.97
10/17/2015,10/21/2015,10/17/2015,1.7244,1.6480,"9,122,587",35.12
10/10/2015,10/15/2015,10/10/2015,1.6802,1.6019,"10,131,989",34.97
10/10/2015,10/15/2015,10/03/2015,1.6783,1.5990,"9,249,459",34.93
10/10/2015,10/15/2015,09/26/2015,1.7212,1.6426,"10,456,388",35.03
10/10/2015,10/15/2015,09/19/2015,1.7718,1.6885,"9,407,352",34.94
10/10/2015,10/15/2015,09/12/2015,1.7717,1.6879,"11,884,187",34.92
10/03/2015,10/07/2015,09/05/2015,1.7676,1.6861,"12,430,387",35.00
10/03/2015,10/07/2015,09/12/2015,1.7717,1.6879,"11,884,187",34.92
10/03/2015,10/07/2015,09/19/2015,1.7718,1.6885,"9,407,352",34.94
10/03/2015,10/07/2015,09/26/2015,1.7217,1.6429,"10,416,791",35.03
10/03/2015,10/07/2015,10/03/2015,1.6778,1.5990,"9,085,703",34.94
09/26/2015,09/30/2015,09/26/2015,1.7217,1.6429,"10,416,791",35.03
09/26/2015,09/30/2015,09/19/2015,1.7718,1.6885,"9,407,352",34.94
09/26/2015,09/30/2015,09/12/2015,1.7717,1.6879,"11,884,187",34.92
09/26/2015,09/30/2015,09/05/2015,1.7676,1.6861,"12,430,387",35.00
09/26/2015,09/30/2015,08/29/2015,1.8226,1.7353,"9,304,509",34.88
09/19/2015,09/23/2015,08/22/2015,1.8362,1.7471,"9,738,968",34.84
09/19/2015,09/23/2015,08/29/2015,1.8226,1.7355,"9,302,421",34.89
09/19/2015,09/23/2015,09/05/2015,1.7676,1.6864,"12,430,387",35.02
09/19/2015,09/23/2015,09/12/2015,1.7718,1.6879,"11,884,187",34.92
09/19/2015,09/23/2015,09/19/2015,1.7718,1.6886,"9,407,352",34.94
09/12/2015,09/16/2015,09/12/2015,1.7718,1.6879,"11,884,187",34.92
09/12/2015,09/16/2015,09/05/2015,1.7677,1.6865,"12,430,387",35.02
09/12/2015,09/16/2015,08/29/2015,1.8226,1.7355,"9,302,421",34.89
09/12/2015,09/16/2015,08/22/2015,1.8362,1.7471,"9,738,968",34.84
09/12/2015,09/16/2015,08/15/2015,1.8305,1.7375,"10,554,449",34.68
09/05/2015,09/10/2015,08/08/2015,1.7954,1.7113,"10,123,940",34.95
09/05/2015,09/10/2015,08/15/2015,1.8305,1.7375,"10,554,449",34.68
09/05/2015,09/10/2015,08/22/2015,1.8362,1.7471,"9,738,968",34.84
09/05/2015,09/10/2015,08/29/2015,1.8226,1.7355,"9,302,421",34.89
09/05/2015,09/10/2015,09/05/2015,1.7676,1.6864,"12,430,387",35.02
08/29/2015,09/02/2015,08/29/2015,1.8226,1.7355,"9,302,421",34.89
08/29/2015,09/02/2015,08/22/2015,1.8362,1.7471,"9,738,968",34.84
08/29/2015,09/02/2015,08/15/2015,1.8305,1.7375,"10,554,449",34.68
08/29/2015,09/02/2015,08/08/2015,1.7954,1.7113,"10,123,940",34.95
08/29/2015,09/02/2015,08/01/2015,1.7678,1.6874,"10,365,661",35.05
08/22/2015,08/26/2015,07/25/2015,1.7361,1.6648,"10,609,190",35.34
08/22/2015,08/26/2015,08/01/2015,1.7666,1.6865,"10,472,993",35.06
08/22/2015,08/26/2015,08/08/2015,1.7954,1.7113,"10,123,940",34.95
08/22/2015,08/26/2015,08/15/2015,1.8305,1.7375,"10,554,449",34.68
08/22/2015,08/26/2015,08/22/2015,1.8362,1.7471,"9,738,968",34.84
08/15/2015,08/19/2015,08/15/2015,1.8305,1.7375,"10,566,596",34.68
08/15/2015,08/19/2015,08/08/2015,1.7954,1.7113,"10,123,940",34.95
08/15/2015,08/19/2015,08/01/2015,1.7666,1.6865,"10,472,993",35.06
08/15/2015,08/19/2015,07/25/2015,1.7361,1.6648,"10,609,190",35.34
08/15/2015,08/19/2015,07/18/2015,1.7335,1.6563,"10,796,066",35.11
08/08/2015,08/12/2015,07/11/2015,1.7570,1.6709,"11,984,096",34.80
08/08/2015,08/12/2015,07/18/2015,1.7335,1.6563,"10,796,066",35.11
08/08/2015,08/12/2015,07/25/2015,1.7361,1.6648,"10,609,190",35.34
08/08/2015,08/12/2015,08/01/2015,1.7666,1.6865,"10,472,993",35.06
08/08/2015,08/12/2015,08/08/2015,1.7954,1.7112,"10,002,242",34.95
08/01/2015,08/05/2015,08/01/2015,1.7666,1.6865,"10,472,993",35.06
08/01/2015,08/05/2015,07/25/2015,1.7361,1.6648,"10,612,737",35.34
08/01/2015,08/05/2015,07/18/2015,1.7335,1.6563,"10,796,066",35.11
08/01/2015,08/05/2015,07/11/2015,1.7570,1.6709,"11,984,096",34.80
08/01/2015,08/05/2015,07/04/2015,1.7899,1.7058,"9,902,737",34.94
07/25/2015,07/29/2015,06/27/2015,1.8143,1.7285,"10,382,580",34.92
07/25/2015,07/29/2015,07/04/2015,1.7899,1.7058,"9,902,737",34.94
07/25/2015,07/29/2015,07/11/2015,1.7570,1.6709,"11,984,096",34.80
07/25/2015,07/29/2015,07/18/2015,1.7325,1.6558,"10,836,636",35.13
07/25/2015,07/29/2015,07/25/2015,1.7361,1.6648,"10,612,737",35.34
07/18/2015,07/22/2015,07/18/2015,1.7326,1.6559,"10,836,636",35.13
07/18/2015,07/22/2015,07/11/2015,1.7578,1.6716,"11,984,096",34.80
07/18/2015,07/22/2015,07/04/2015,1.7899,1.7058,"9,902,737",34.94
07/18/2015,07/22/2015,06/27/2015,1.8143,1.7285,"10,382,580",34.92
07/18/2015,07/22/2015,06/20/2015,1.8133,1.7284,"9,268,038",34.96
07/11/2015,07/15/2015,06/13/2015,1.7829,1.7047,"10,917,666",35.15
07/11/2015,07/15/2015,06/20/2015,1.8133,1.7284,"9,268,038",34.96
07/11/2015,07/15/2015,06/27/2015,1.8143,1.7285,"10,382,580",34.92
07/11/2015,07/15/2015,07/04/2015,1.7899,1.7058,"9,902,737",34.94
07/11/2015,07/15/2015,07/11/2015,1.7578,1.6716,"11,984,096",34.80
07/04/2015,07/08/2015,07/04/2015,1.7899,1.7058,"9,902,737",34.94
07/04/2015,07/08/2015,06/27/2015,1.8143,1.7285,"10,382,580",34.92
07/04/2015,07/08/2015,06/20/2015,1.8133,1.7284,"9,268,038",34.96
07/04/2015,07/08/2015,06/13/2015,1.7829,1.7047,"10,917,666",35.15
07/04/2015,07/08/2015,06/06/2015,1.7509,1.6716,"9,603,219",35.06
06/27/2015,07/01/2015,05/30/2015,1.7431,1.6662,"10,746,337",35.14
06/27/2015,07/01/2015,06/06/2015,1.7509,1.6716,"9,603,219",35.06
06/27/2015,07/01/2015,06/13/2015,1.7829,1.7047,"10,917,666",35.15
06/27/2015,07/01/2015,06/20/2015,1.8133,1.7284,"9,268,038",34.96
06/27/2015,07/01/2015,06/27/2015,1.8143,1.7285,"10,382,580",34.92
06/20/2015,06/24/2015,06/20/2015,1.8133,1.7284,"9,268,038",34.96
06/20/2015,06/24/2015,06/13/2015,1.7829,1.7047,"10,917,666",35.15
06/20/2015,06/24/2015,06/06/2015,1.7509,1.6716,"9,603,219",35.06
06/20/2015,06/24/2015,05/30/2015,1.7431,1.6662,"10,746,337",35.14
06/20/2015,06/24/2015,05/23/2015,1.7436,1.6713,"9,023,123",35.32
06/13/2015,06/17/2015,05/16/2015,1.7456,1.6670,"9,847,401",35.08
06/13/2015,06/17/2015,05/23/2015,1.7436,1.6713,"9,023,123",35.32
06/13/2015,06/17/2015,05/30/2015,1.7431,1.6662,"10,746,337",35.14
06/13/2015,06/17/2015,06/06/2015,1.7509,1.6716,"9,602,714",35.06
06/13/2015,06/17/2015,06/13/2015,1.7821,1.7040,"10,750,688",35.16
06/06/2015,06/10/2015,06/06/2015,1.7509,1.6716,"9,602,714",35.06
06/06/2015,06/10/2015,05/30/2015,1.7431,1.6662,"10,746,337",35.14
06/06/2015,06/10/2015,05/23/2015,1.7436,1.6713,"9,023,123",35.32
06/06/2015,06/10/2015,05/16/2015,1.7456,1.6670,"9,847,401",35.08
06/06/2015,06/10/2015,05/09/2015,1.7431,1.6655,"9,735,104",35.11
05/30/2015,06/03/2015,05/02/2015,1.7427,1.6660,"9,894,341",35.15
05/30/2015,06/03/2015,05/09/2015,1.7431,1.6655,"9,735,104",35.11
05/30/2015,06/03/2015,05/16/2015,1.7456,1.6670,"9,847,401",35.08
05/30/2015,06/03/2015,05/23/2015,1.7436,1.6713,"9,023,123",35.32
05/30/2015,06/03/2015,05/30/2015,1.7431,1.6662,"10,746,337",35.14
05/23/2015,05/28/2015,05/23/2015,1.7436,1.6713,"9,023,123",35.32
05/23/2015,05/28/2015,05/16/2015,1.7456,1.6670,"9,847,401",35.08
05/23/2015,05/28/2015,05/09/2015,1.7431,1.6655,"9,735,104",35.11
05/23/2015,05/28/2015,05/02/2015,1.7427,1.6660,"9,894,341",35.15
05/23/2015,05/28/2015,04/25/2015,1.7366,1.6575,"9,941,803",35.04
05/16/2015,05/20/2015,04/18/2015,1.7223,1.6396,"10,250,823",34.87
05/16/2015,05/20/2015,04/25/2015,1.7366,1.6575,"9,941,803",35.04
05/16/2015,05/20/2015,05/02/2015,1.7427,1.6660,"9,894,341",35.15
05/16/2015,05/20/2015,05/09/2015,1.7431,1.6655,"9,735,104",35.11
05/16/2015,05/20/2015,05/16/2015,1.7454,1.6669,"9,736,593",35.08
05/09/2015,05/13/2015,05/09/2015,1.7431,1.6655,"9,730,502",35.11
05/09/2015,05/13/2015,05/02/2015,1.7427,1.6660,"9,894,341",35.15
05/09/2015,05/13/2015,04/25/2015,1.7366,1.6575,"9,941,803",35.04
05/09/2015,05/13/2015,04/18/2015,1.7223,1.6396,"10,250,823",34.87
05/09/2015,05/13/2015,04/11/2015,1.6856,1.6132,"10,137,426",35.22
05/02/2015,05/06/2015,04/04/2015,1.6407,1.5729,"9,550,948",35.33
05/02/2015,05/06/2015,04/11/2015,1.6856,1.6132,"10,137,426",35.22
05/02/2015,05/06/2015,04/18/2015,1.7223,1.6396,"10,250,823",34.87
05/02/2015,05/06/2015,04/25/2015,1.7366,1.6575,"9,941,803",35.04
05/02/2015,05/06/2015,05/02/2015,1.7421,1.6655,"9,853,589",35.15
04/25/2015,04/29/2015,04/25/2015,1.7366,1.6575,"9,941,803",35.04
04/25/2015,04/29/2015,04/18/2015,1.7223,1.6396,"10,250,823",34.87
04/25/2015,04/29/2015,04/11/2015,1.6856,1.6132,"10,137,426",35.22
04/25/2015,04/29/2015,04/04/2015,1.6407,1.5729,"9,550,948",35.33
04/25/2015,04/29/2015,03/28/2015,1.6597,1.5823,"9,711,077",34.97
04/18/2015,04/22/2015,03/21/2015,1.6408,1.5625,"11,098,151",34.89
04/18/2015,04/22/2015,03/28/2015,1.6597,1.5823,"9,711,077",34.97
04/18/2015,04/22/2015,04/04/2015,1.6407,1.5729,"9,550,948",35.33
04/18/2015,04/22/2015,04/11/2015,1.6855,1.6131,"10,095,742",35.22
04/18/2015,04/22/2015,04/18/2015,1.7223,1.6396,"10,250,823",34.87
04/11/2015,04/15/2015,04/11/2015,1.6855,1.6131,"10,095,742",35.22
04/11/2015,04/15/2015,04/04/2015,1.6407,1.5729,"9,550,948",35.33
04/11/2015,04/15/2015,03/28/2015,1.6597,1.5823,"9,711,077",34.97
04/11/2015,04/15/2015,03/21/2015,1.6408,1.5625,"11,098,151",34.89
04/11/2015,04/15/2015,03/14/2015,1.6104,1.5345,"9,530,547",34.93
04/04/2015,04/08/2015,03/07/2015,1.6052,1.5296,"10,397,994",34.93
04/04/2015,04/08/2015,03/14/2015,1.6104,1.5345,"9,530,547",34.93
04/04/2015,04/08/2015,03/21/2015,1.6408,1.5625,"11,098,151",34.89
04/04/2015,04/08/2015,03/28/2015,1.6597,1.5823,"9,711,077",34.97
04/04/2015,04/08/2015,04/04/2015,1.6407,1.5729,"9,557,021",35.33
03/28/2015,04/01/2015,03/28/2015,1.6590,1.5819,"9,420,860",34.98
03/28/2015,04/01/2015,03/21/2015,1.6409,1.5625,"11,056,298",34.89
03/28/2015,04/01/2015,03/14/2015,1.6104,1.5345,"9,572,400",34.93
03/28/2015,04/01/2015,03/07/2015,1.6052,1.5296,"10,397,994",34.93
03/28/2015,04/01/2015,02/28/2015,1.6016,1.5257,"9,890,187",34.92
03/21/2015,03/25/2015,02/21/2015,1.6024,1.5282,"10,377,959",34.99
03/21/2015,03/25/2015,02/28/2015,1.6016,1.5257,"9,890,187",34.92
03/21/2015,03/25/2015,03/07/2015,1.6052,1.5296,"10,397,994",34.93
03/21/2015,03/25/2015,03/14/2015,1.6104,1.5345,"9,572,400",34.93
03/21/2015,03/25/2015,03/21/2015,1.6409,1.5625,"11,056,298",34.89
03/14/2015,03/18/2015,03/14/2015,1.6103,1.5345,"9,530,808",34.94
03/14/2015,03/18/2015,03/07/2015,1.6052,1.5296,"10,397,994",34.93
03/14/2015,03/18/2015,02/28/2015,1.6016,1.5257,"9,890,187",34.92
03/14/2015,03/18/2015,02/21/2015,1.6024,1.5282,"10,377,959",34.99
03/14/2015,03/18/2015,02/14/2015,1.6047,1.5251,"9,930,522",34.76
03/07/2015,03/11/2015,02/07/2015,1.5950,1.5179,"10,173,876",34.85
03/07/2015,03/11/2015,02/14/2015,1.6047,1.5251,"9,930,522",34.76
03/07/2015,03/11/2015,02/21/2015,1.6024,1.5282,"10,377,959",34.99
03/07/2015,03/11/2015,02/28/2015,1.6016,1.5257,"9,890,187",34.92
03/07/2015,03/11/2015,03/07/2015,1.6052,1.5296,"10,397,994",34.93
02/28/2015,03/04/2015,02/28/2015,1.6016,1.5257,"9,890,187",34.92
02/28/2015,03/04/2015,02/21/2015,1.6024,1.5282,"10,377,959",34.99
02/28/2015,03/04/2015,02/14/2015,1.6047,1.5251,"9,930,522",34.76
02/28/2015,03/04/2015,02/07/2015,1.5950,1.5179,"10,173,876",34.85
02/28/2015,03/04/2015,01/31/2015,1.5861,1.5122,"10,492,928",34.97
02/21/2015,02/25/2015,01/24/2015,1.6351,1.5579,"9,927,461",34.93
02/21/2015,02/25/2015,01/31/2015,1.5861,1.5122,"10,492,928",34.97
02/21/2015,02/25/2015,02/07/2015,1.5950,1.5179,"10,173,876",34.85
02/21/2015,02/25/2015,02/14/2015,1.6047,1.5251,"9,930,522",34.76
02/21/2015,02/25/2015,02/21/2015,1.6024,1.5282,"10,377,959",34.99
02/14/2015,02/19/2015,02/14/2015,1.6047,1.5251,"9,930,522",34.76
02/14/2015,02/19/2015,02/07/2015,1.5950,1.5179,"10,173,876",34.85
02/14/2015,02/19/2015,01/31/2015,1.5861,1.5122,"10,492,928",34.97
02/14/2015,02/19/2015,01/24/2015,1.6351,1.5579,"9,927,461",34.93
02/14/2015,02/19/2015,01/17/2015,1.6417,1.5661,"9,843,246",35.01
02/07/2015,02/11/2015,01/10/2015,1.6091,1.5322,"10,718,107",34.89
02/07/2015,02/11/2015,01/17/2015,1.6417,1.5661,"9,843,246",35.01
02/07/2015,02/11/2015,01/24/2015,1.6351,1.5579,"9,927,461",34.93
02/07/2015,02/11/2015,01/31/2015,1.5861,1.5122,"10,492,928",34.97
02/07/2015,02/11/2015,02/07/2015,1.5950,1.5179,"10,173,876",34.85
01/31/2015,02/04/2015,01/31/2015,1.5861,1.5122,"10,492,928",34.97
01/31/2015,02/04/2015,01/24/2015,1.6351,1.5579,"9,927,461",34.93
01/31/2015,02/04/2015,01/17/2015,1.6417,1.5661,"9,843,246",35.01
01/31/2015,02/04/2015,01/10/2015,1.6091,1.5322,"10,718,107",34.89
01/31/2015,02/04/2015,01/03/2015,1.6474,1.5672,"9,122,463",34.83
01/24/2015,01/28/2015,12/27/2014,1.6648,1.5894,"8,306,632",35.06
01/24/2015,01/28/2015,01/03/2015,1.6474,1.5672,"9,122,463",34.83
01/24/2015,01/28/2015,01/10/2015,1.6091,1.5322,"10,718,107",34.89
01/24/2015,01/28/2015,01/17/2015,1.6417,1.5661,"9,843,246",35.01
01/24/2015,01/28/2015,01/24/2015,1.6374,1.5594,"9,549,322",34.90
01/17/2015,01/22/2015,01/17/2015,1.6417,1.5661,"9,843,246",35.01
01/17/2015,01/22/2015,01/10/2015,1.6091,1.5322,"10,718,107",34.89
01/17/2015,01/22/2015,01/03/2015,1.6474,1.5672,"9,122,463",34.83
01/17/2015,01/22/2015,12/27/2014,1.6648,1.5894,"8,306,632",35.06
01/17/2015,01/22/2015,12/20/2014,1.6680,1.5900,"9,999,121",34.96
01/10/2015,01/14/2015,12/13/2014,1.7866,1.7038,"10,442,002",34.99
01/10/2015,01/14/2015,12/20/2014,1.6680,1.5900,"9,999,121",34.96
01/10/2015,01/14/2015,12/27/2014,1.6648,1.5894,"8,306,632",35.06
01/10/2015,01/14/2015,01/03/2015,1.6474,1.5672,"9,122,463",34.83
01/10/2015,01/14/2015,01/10/2015,1.6091,1.5322,"10,718,107",34.89
01/03/2015,01/07/2015,01/03/2015,1.6474,1.5672,"9,122,463",34.83
01/03/2015,01/07/2015,12/27/2014,1.6648,1.5894,"8,306,632",35.06
01/03/2015,01/07/2015,12/20/2014,1.6680,1.5900,"9,999,121",34.96
01/03/2015,01/07/2015,12/13/2014,1.7866,1.7038,"10,442,002",34.99
01/03/2015,01/07/2015,12/06/2014,1.9197,1.8297,"9,961,261",34.95
12/27/2014,12/31/2014,11/29/2014,2.0601,1.9682,"8,641,700",35.10
12/27/2014,12/31/2014,12/06/2014,1.9197,1.8297,"9,961,261",34.95
12/27/2014,12/31/2014,12/13/2014,1.7866,1.7038,"10,442,002",34.99
12/27/2014,12/31/2014,12/20/2014,1.6680,1.5900,"9,999,121",34.96
12/27/2014,12/31/2014,12/27/2014,1.6648,1.5894,"8,306,632",35.06
12/20/2014,12/24/2014,12/20/2014,1.6680,1.5900,"9,999,121",34.96
12/20/2014,12/24/2014,12/13/2014,1.7866,1.7038,"10,442,002",34.99
12/20/2014,12/24/2014,12/06/2014,1.9197,1.8297,"9,961,261",34.95
12/20/2014,12/24/2014,11/29/2014,2.0601,1.9682,"8,641,700",35.10
12/20/2014,12/24/2014,11/22/2014,2.1915,2.0934,"10,376,595",35.10
12/13/2014,12/17/2014,11/15/2014,2.2496,2.1503,"7,235,356",35.14
12/13/2014,12/17/2014,11/22/2014,2.1913,2.0932,"10,385,733",35.09
12/13/2014,12/17/2014,11/29/2014,2.0601,1.9682,"8,641,700",35.10
12/13/2014,12/17/2014,12/06/2014,1.9197,1.8297,"9,961,261",34.95
12/13/2014,12/17/2014,12/13/2014,1.7864,1.7030,"10,292,666",34.97
12/06/2014,12/10/2014,12/06/2014,1.9197,1.8297,"9,961,261",34.95
12/06/2014,12/10/2014,11/29/2014,2.0601,1.9682,"8,641,700",35.10
12/06/2014,12/10/2014,11/22/2014,2.1913,2.0932,"10,385,733",35.09
12/06/2014,12/10/2014,11/15/2014,2.2496,2.1503,"7,235,356",35.14
12/06/2014,12/10/2014,11/08/2014,2.1946,2.0912,"9,587,393",34.93
11/29/2014,12/03/2014,11/01/2014,2.2334,2.1271,"8,972,580",34.90
11/29/2014,12/03/2014,11/08/2014,2.1946,2.0912,"9,587,393",34.93
11/29/2014,12/03/2014,11/15/2014,2.2496,2.1503,"7,235,356",35.14
11/29/2014,12/03/2014,11/22/2014,2.1913,2.0932,"10,385,733",35.09
11/29/2014,12/03/2014,11/29/2014,2.0603,1.9683,"8,631,812",35.10
11/22/2014,11/26/2014,11/22/2014,2.1910,2.0928,"10,344,088",35.09
11/22/2014,11/26/2014,11/15/2014,2.2496,2.1503,"7,235,356",35.14
11/22/2014,11/26/2014,11/08/2014,2.1946,2.0912,"9,587,393",34.93
11/22/2014,11/26/2014,11/01/2014,2.2334,2.1271,"8,972,580",34.90
11/22/2014,11/26/2014,10/25/2014,2.2754,2.1701,"9,883,909",34.99
11/15/2014,11/19/2014,10/18/2014,2.3171,2.2149,"9,378,425",35.14
11/15/2014,11/19/2014,10/25/2014,2.2754,2.1701,"9,883,909",34.99
11/15/2014,11/19/2014,11/01/2014,2.2334,2.1271,"8,972,580",34.90
11/15/2014,11/19/2014,11/08/2014,2.1946,2.0912,"9,587,393",34.93
11/15/2014,11/19/2014,11/15/2014,2.2496,2.1503,"7,235,356",35.14
11/08/2014,11/13/2014,11/08/2014,2.1946,2.0912,"9,587,393",34.93
11/08/2014,11/13/2014,11/01/2014,2.2334,2.1271,"8,972,580",34.90
11/08/2014,11/13/2014,10/25/2014,2.2754,2.1701,"9,883,909",34.99
11/08/2014,11/13/2014,10/18/2014,2.3171,2.2149,"9,378,425",35.14
11/08/2014,11/13/2014,10/11/2014,2.4402,2.3301,"8,367,413",35.07
11/01/2014,11/05/2014,10/04/2014,2.5982,2.4756,"9,586,457",34.93
11/01/2014,11/05/2014,10/11/2014,2.4402,2.3301,"8,367,413",35.07
